actor_id,bond_name,bond_layer,love_interest,poly_connects,burst_unlocked,gift_likes,gift_dislikes,bond_description,story_points,reward_outer,reward_middle,reward_inner,reward_core,bond_hint
circle_01,Circle 01,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent,Here is a hint for this bond. 
circle_02,Circle 02,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent,Here is a hint for this bond. 
circle_03,Circle 03,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent,Here is a hint for this bond. 
circle_04,Circle 04,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent,Here is a hint for this bond. 
circle_05,Circle 05,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent,Here is a hint for this bond. 
circle_06,Circle 06,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent,Here is a hint for this bond. 
circle_07,Circle 07,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent,Here is a hint for this bond. 
circle_08,Circle 08,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent,Here is a hint for this bond. 
circle_09,Circle 09,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent,Here is a hint for this bond. 
circle_10,Circle 10,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent,Here is a hint for this bond. 
circle_11,Circle 11,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent,Here is a hint for this bond. 
circle_12,Circle 12,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent,Here is a hint for this bond. 
circle_13,Circle 13,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent,Here is a hint for this bond. 
circle_14,Circle 14,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent,Here is a hint for this bond. 
circle_15,Circle 15,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent,Here is a hint for this bond. 
circle_16,Circle 16,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent,Here is a hint for this bond. 
circle_17,Circle 17,0,No,,No,,,Ally/group bond. Gains scenes at new layers only.,Not met yet.,consumable:small_pack,passive:teamwork_bonus,unlock:activity_or_training_spot,perk:ally_tuned_permanent,Here is a hint for this bond. 
